FROM_POSITION,TO_POSITION,CRANE
5,1,1
5,4,1
4,5,1
4,2,1
4,3,1
3,4,1
3,2,1
3,17,1
3,10,1
1,2,1
1,5,1
2,3,1
2,4,1
2,1,1
10,3,1
10,17,1
10,16,1
10,9,1
9,10,1
9,16,1
9,14,1
9,12,1
9,8,1
8,9,1
8,14,1
8,12,1
8,20,1
8,6,1
6,8,1
6,20,1
6,22,1
6,11,1
11,23,1
11,6,1
11,7,1
11,56,1
7,11,1
7,24,1
7,25,1
7,26,1
7,55,1
18,17,1
18,3,1
18,2,1
17,16,1
17,10,1
17,3,1
16,9,1
16,10,1
16,17,1
15,14,1
15,9,1
15,16,1
14,8,1
14,9,1
13,12,1
13,8,1
13,9,1
13,14,1
12,8,1
12,9,1
19,20,1
19,8,1
19,12,1
20,22,1
20,6,1
20,8,1
22,23,1
22,6,1
22,20,1
23,24,1
23,11,1
23,22,1
24,25,1
24,7,1
24,23,1
25,26,1
25,55,1
25,7,1
25,24,1
26,27,1
26,55,1
26,7,1
26,25,1
27,28,1
27,21,1
27,55,1
27,26,1
28,21,1
28,27,1
30,35,2
30,36,2
31,37,2
29,38,2
29,39,2
33,32,2
33,36,2
32,34,2
32,33,2
34,41,2
34,35,2
34,36,2
34,32,2
36,34,2
36,30,2
36,35,2
36,33,2
35,41,2
35,34,2
35,30,2
35,37,2
35,36,2
37,41,2
37,31,2
37,39,2
37,35,2
39,41,2
39,29,2
39,38,2
39,37,2
38,42,2
38,29,2
38,43,2
38,48,2
38,39,2
41,39,2
41,37,2
41,35,2
41,34,2
40,42,2
40,38,2
40,39,2
40,41,2
42,48,2
42,38,2
43,49,2
43,48,2
43,38,2
44,47,2
44,49,2
44,43,2
47,50,2
47,49,2
46,50,2
46,45,2
46,47,2
45,54,2
45,51,2
45,50,2
48,49,2
48,43,2
48,38,2
48,42,2
49,50,2
49,47,2
49,43,2
49,48,2
50,51,2
50,45,2
50,47,2
50,49,2
51,52,2
51,45,2
51,50,2
52,53,2
52,54,2
52,51,2
52,56,2
54,53,2
54,45,2
54,51,2
53,52,2
53,54,2
21,55,1
21,27,1
21,28,1
56,11,1
56,52,2
55,7,1
55,25,1
55,26,1
55,27,1
55,21,1
57,55,3
