TASK_ID,START,FINISH,REEL1,REEL2,POSITION1,POSITION2
1,0,305,30,30,2,2
2,0,1103,21,2,44,49
3,0,56,6,23,43,48
4,0,131,12,12,21,21
5,0,659,14,14,22,22
6,0,404,29,29,3,3
7,0,1442,13,13,23,23
8,0,1052,25,25,1,1
9,0,140,26,26,5,5
10,8,236,39,31,42,47
11,41,488,18,38,41,46
12,62,236,1,35,43,48
13,95,683,22,3,45,50
14,137,665,9,9,21,21
15,146,344,27,27,5,5
16,140,998,31,31,4,4
17,242,506,24,26,42,47
18,242,575,11,37,43,48
19,494,878,20,39,41,46
20,509,731,38,24,42,47
21,581,827,12,6,43,48
22,665,1913,1,1,22,22
23,671,1694,18,18,21,21
24,689,1109,22,7,45,50
