TASK_ID,START,FINISH,REEL1,REEL2,POSITION1,POSITION2
1,0,1676,12,12,23,23
2,0,536,11,11,21,21
3,0,221,6,39,41,46
4,0,128,5,23,43,48
5,0,260,1,21,49,44
6,0,299,22,18,45,50
7,0,209,13,13,22,22
8,0,1268,29,29,3,3
9,0,1268,30,30,2,2
10,0,134,26,26,1,1
11,0,152,27,27,5,5
12,2,290,38,38,4,4
13,29,329,25,24,42,47
14,134,434,17,9,43,48
15,140,1862,42,42,1,1
16,185,1235,13,13,22,22
17,227,593,2,27,41,46
18,266,734,23,5,49,44
19,335,704,21,1,42,47
20,440,611,19,9,43,48
21,737,1208,5,23,42,47
