TASK,SUBTASK,OPERATION,MOVE,SUBMOVE,REEL,FROM_POSITION,TO_POSITION,START_TIME,FINISH_TIME,CRANE
-1,-1,1,1,1,18,13,6,0,3,2
-1,-1,2,1,1,28,33,32,0,3,1
-1,-1,3,1,1,26,50,16,3,6,2
-1,-1,3,1,2,26,16,17,6,6,2
-1,-1,3,1,3,26,17,8,6,6,2
-1,-1,3,1,4,26,8,9,6,6,2
-1,-1,4,1,1,27,7,50,6,9,2
-1,-1,5,1,1,29,35,36,3,6,1
-1,-1,5,1,2,29,36,37,6,6,1
-1,-1,5,1,3,29,37,38,6,6,1
-1,-1,5,1,4,29,38,39,6,6,1
4,1,6,1,1,21,45,33,6,9,1
4,1,6,1,2,21,33,34,9,9,1
4,1,6,1,3,21,34,35,9,9,1
4,1,6,1,4,21,35,36,9,9,1
4,1,6,1,5,21,36,42,9,9,1
-1,-1,7,1,1,22,48,35,9,12,1
7,2,8,1,1,24,1,29,12,15,1
7,2,8,1,2,24,29,28,15,15,1
7,2,8,1,3,24,28,37,15,15,1
7,2,8,1,4,24,37,36,15,15,1
7,2,8,1,5,24,36,48,15,15,1
-1,-1,9,1,1,28,32,33,15,18,1
-1,-1,10,1,1,20,44,34,18,21,1
-1,-1,11,1,1,14,22,17,10,13,2
-1,-1,11,1,2,14,17,8,13,13,2
5,1,12,1,1,27,50,16,13,16,2
5,1,12,1,2,27,16,22,16,16,2
-1,-1,13,1,1,1,49,17,16,19,2
-1,-1,13,1,2,1,17,16,19,19,2
-1,-1,13,1,3,1,16,50,19,19,2
-1,-1,13,1,4,1,50,7,19,19,2
-1,-1,13,1,5,1,7,20,19,19,2
6,2,14,1,1,14,8,49,19,22,2
-1,-1,15,1,1,26,9,8,22,25,2
-1,-1,15,1,2,26,8,17,25,25,2
-1,-1,15,1,3,26,17,16,25,25,2
-1,-1,15,1,4,26,16,50,25,25,2
-1,-1,15,1,5,26,50,7,25,25,2
-1,-1,16,1,1,6,43,9,25,28,2
-1,-1,16,1,2,6,9,8,28,28,2
8,2,17,1,1,6,8,17,28,31,2
8,2,17,1,2,6,17,16,31,31,2
8,2,17,1,3,6,16,50,31,31,2
-1,-1,18,1,1,25,11,10,31,34,2
-1,-1,18,1,2,25,10,9,34,34,2
7,1,19,1,1,8,12,11,34,37,2
7,1,19,1,2,8,11,10,37,37,2
7,1,19,1,3,8,10,43,37,37,2
-1,-1,20,1,3,25,9,10,37,40,2
-1,-1,20,1,4,25,10,11,40,40,2
-1,-1,20,1,5,25,11,12,40,40,2
-1,-1,20,1,6,25,12,19,40,40,2
-1,-1,21,1,1,38,18,11,40,43,2
-1,-1,21,1,2,38,11,10,43,43,2
-1,-1,21,1,3,38,10,9,43,43,2
-1,-1,22,1,1,15,15,16,43,46,2
-1,-1,22,1,2,15,16,17,46,46,2
6,1,23,1,1,34,31,32,21,24,1
6,1,23,1,2,34,32,45,24,24,1
6,1,23,1,3,34,45,44,24,24,1
-1,-1,24,1,1,28,33,45,24,27,1
-1,-1,24,1,2,28,45,32,27,27,1
-1,-1,24,1,3,28,32,31,27,27,1
-1,-1,25,1,1,20,34,33,27,30,1
-1,-1,25,1,2,20,33,32,30,30,1
8,1,26,1,1,22,35,34,30,33,1
8,1,26,1,2,22,34,33,33,33,1
8,1,26,1,3,22,33,45,33,33,1
-1,-1,27,1,1,20,32,33,33,36,1
-1,-1,28,1,1,12,21,15,149,152,2
-1,-1,28,1,2,12,15,16,152,152,2
9,1,29,1,1,19,14,15,152,155,2
9,1,29,1,2,19,15,21,155,155,2
-1,-1,30,1,1,12,16,15,155,158,2
-1,-1,30,1,2,12,15,14,158,158,2
-1,-1,30,1,3,12,14,13,158,158,2
-1,-1,31,1,1,15,17,16,158,161,2
-1,-1,32,1,1,23,46,35,280,283,1
-1,-1,32,1,2,23,35,36,283,283,1
-1,-1,32,1,3,23,36,37,283,283,1
10,2,33,1,1,20,33,34,283,286,1
10,2,33,1,2,20,34,46,286,286,1
-1,-1,34,1,1,28,31,32,286,289,1
-1,-1,34,1,2,28,32,33,289,289,1
-1,-1,34,1,3,28,33,34,289,289,1
-1,-1,34,1,4,28,34,35,289,289,1
-1,-1,34,1,5,28,35,36,289,289,1
-1,-1,35,1,1,7,41,17,280,283,2
10,1,36,1,1,38,9,41,283,286,2
-1,-1,37,1,1,7,17,8,286,289,2
-1,-1,37,1,2,7,8,9,289,289,2
-1,-1,37,1,3,7,9,10,289,289,2
-1,-1,37,1,4,7,10,11,289,289,2
-1,-1,37,1,5,7,11,12,289,289,2
-1,-1,37,1,6,7,12,24,289,289,2
-1,-1,37,2,5,7,24,24,289,294,4
-1,-1,37,3,5,7,24,38,294,297,1
-1,-1,37,3,6,7,38,29,297,297,1
-1,-1,37,3,7,7,29,1,297,297,1
-1,-1,38,1,1,15,16,17,289,292,2
-1,-1,38,1,2,15,17,8,292,292,2
-1,-1,38,1,3,15,8,9,292,292,2
-1,-1,38,1,4,15,9,10,292,292,2
-1,-1,38,1,5,15,10,11,292,292,2
-1,-1,38,1,6,15,11,12,292,292,2
-1,-1,38,1,7,15,12,18,292,292,2
-1,-1,39,1,1,23,37,38,297,300,1
-1,-1,39,1,2,23,38,29,300,300,1
-1,-1,40,1,1,21,42,28,358,361,1
11,1,41,1,1,28,36,42,361,364,1
-1,-1,42,1,1,5,47,10,358,361,2
11,2,43,1,1,15,18,47,361,364,2
-1,-1,44,1,1,5,10,11,364,367,2
-1,-1,44,1,2,5,11,12,367,367,2
-1,-1,44,1,3,5,12,18,367,367,2
-1,-1,45,1,1,8,43,9,370,373,2
12,1,46,1,1,25,19,12,373,376,2
12,1,46,1,2,25,12,11,376,376,2
12,1,46,1,3,25,11,10,376,376,2
12,1,46,1,4,25,10,43,376,376,2
-1,-1,47,1,1,24,48,35,370,373,1
12,2,48,1,1,21,28,37,373,376,1
12,2,48,1,2,21,37,36,376,376,1
12,2,48,1,3,21,36,48,376,376,1
-1,-1,49,1,1,24,35,36,376,379,1
-1,-1,49,1,2,24,36,37,379,379,1
-1,-1,49,1,3,24,37,28,379,379,1
-1,-1,50,1,1,22,45,32,526,529,1
-1,-1,50,1,2,22,32,31,529,529,1
-1,-1,51,1,1,6,50,15,526,529,2
13,2,52,1,1,8,9,8,529,532,2
13,2,52,1,2,8,8,17,532,532,2
13,2,52,1,3,8,17,16,532,532,2
13,2,52,1,4,8,16,50,532,532,2
13,1,53,1,1,29,39,38,529,532,1
13,1,53,1,2,29,38,37,532,532,1
13,1,53,1,3,29,37,36,532,532,1
13,1,53,1,4,29,36,35,532,532,1
13,1,53,1,5,29,35,34,532,532,1
13,1,53,1,6,29,34,33,532,532,1
13,1,53,1,7,29,33,45,532,532,1
-1,-1,54,1,1,27,22,17,766,769,2
-1,-1,54,1,2,27,17,8,769,769,2
-1,-1,54,1,3,27,8,9,769,769,2
-1,-1,54,1,4,27,9,10,769,769,2
-1,-1,54,1,5,27,10,11,769,769,2
-1,-1,54,1,6,27,11,12,769,769,2
-1,-1,54,1,7,27,12,19,769,769,2
14,1,55,1,1,5,18,11,769,772,2
14,1,55,1,2,5,11,10,772,772,2
14,1,55,1,3,5,10,9,772,772,2
14,1,55,1,4,5,9,8,772,772,2
14,1,55,1,5,5,8,17,772,772,2
14,1,55,1,6,5,17,22,772,772,2
-1,-1,56,1,1,14,49,17,850,853,2
15,2,57,1,1,7,1,39,845,848,1
15,2,57,1,2,7,39,38,848,848,1
15,2,57,1,3,7,38,24,848,848,1
15,2,57,2,1,7,24,24,848,853,4
15,2,57,3,1,7,24,12,853,856,2
15,2,57,3,2,7,12,11,856,856,2
15,2,57,3,3,7,11,10,856,856,2
15,2,57,3,4,7,10,9,856,856,2
15,2,57,3,5,7,9,8,856,856,2
15,2,57,3,6,7,8,49,856,856,2
-1,-1,58,1,1,14,17,8,856,859,2
-1,-1,58,1,2,14,8,9,859,859,2
-1,-1,58,1,3,14,9,10,859,859,2
-1,-1,59,1,1,34,44,34,850,853,1
-1,-1,59,1,2,34,34,35,853,853,1
-1,-1,59,1,3,34,35,36,853,853,1
-1,-1,59,1,4,34,36,37,853,853,1
-1,-1,59,1,5,34,37,38,853,853,1
-1,-1,59,1,6,34,38,39,853,853,1
15,1,60,1,1,31,27,32,853,856,1
15,1,60,1,2,31,32,33,856,856,1
15,1,60,1,3,31,33,44,856,856,1
-1,-1,61,1,1,29,45,32,898,901,1
-1,-1,62,1,1,8,50,14,898,901,2
16,1,63,1,1,23,29,38,901,904,1
16,1,63,1,2,23,38,37,904,904,1
16,1,63,1,3,23,37,36,904,904,1
16,1,63,1,4,23,36,35,904,904,1
16,1,63,1,5,23,35,34,904,904,1
16,1,63,1,6,23,34,33,904,904,1
16,1,63,1,7,23,33,45,904,904,1
16,2,64,1,1,25,43,9,901,904,2
16,2,64,1,2,25,9,8,904,904,2
16,2,64,1,3,25,8,17,904,904,2
16,2,64,1,4,25,17,16,904,904,2
16,2,64,1,5,25,16,50,904,904,2
