TASK_ID,START,FINISH,REEL1,REEL2,POSITION1,POSITION2
1,0,153,26,26,5,5
2,0,114,29,29,3,3
3,0,1212,25,25,1,1
4,0,1173,30,30,2,2
5,0,318,12,12,21,21
6,0,192,21,2,45,50
7,0,48,24,38,42,47
8,0,51,20,1,44,49
9,0,234,5,24,43,48
10,6,273,19,28,41,46
11,51,360,38,33,42,47
12,159,852,8,8,5,5
13,240,810,17,31,43,48
14,267,1317,39,39,22,22
15,279,915,7,27,41,46
16,324,1152,5,5,21,21
17,363,957,32,38,42,47
18,384,1302,22,1,44,49
19,816,1116,12,21,43,48
20,882,1470,37,20,45,50
21,921,1374,18,19,41,46
22,960,1125,23,32,42,47
